,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1052,La Milan,$$ • Sándwich,4.4,(133),"Los Carrera 825, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/la-milan/GnDw90u0SHKcctkUri2EZw
1053,Partisannos,$ • Sándwich,,,"Juan De Dios Peni 888, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/partisannos/ZkTLrW6aTKKDxBQoOSX_0A
1054,Ciudad Capital Sandwichería Gourmet,$ • Sándwich,,,"Gabriel González Videla 1968, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/ciudad-capital-sandwicheria-gourmet/PtqrKkaiSAyUxJ2OXkJTGg
1055,Starbucks - Paseo Balmaceda,$ • Café y té,4.7,(378),"Av. Balmaceda 2885, La Serena, Región De Coquimbo, Chile, Local 124 Y 127 ,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/starbucks-paseo-balmaceda/_qD-T2fFQOGmOiKKLifIkQ
1056,Margarita Restaurant - La Serena,$ • Chilena,4.4,(143),"Miguel Aguirre Perry 2479,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/margarita-restaurant-la-serena/FQGfj9VlSnu0obCXb1re2A
1057,Margarita Restaurant - La Serena,$ • Chilena,4.4,(143),"Miguel Aguirre Perry 2479,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/margarita-restaurant-la-serena/FQGfj9VlSnu0obCXb1re2A
1058,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1059,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1060,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1061,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1062,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1063,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1064,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1065,Bastad & Burgers - Del Mar,$$ • Hamburguesas,,,"Av Del Mar 2488, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bastad-%26-burgers-del-mar/0xhjg6cpSdm_RVnZxLUOVw
1066,Fuente Liverpool - El Santo,$ • Chilena,4.4,(32),"Santiago Baltra 227, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/fuente-liverpool-el-santo/oWArNCP5QF-y0uZS-jz3bA
