,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
649,Florinda,$ • Mexicana,,,"Cra 1c # 12 39, Local 9 (Centro Comercial Andes Plaza), Chía, Cundinamarca 250001 Colombia, Bogota, Cundinamarca 110221 • Más información",https://www.ubereats.com/co/bogota/food-delivery/florinda/ajUnMGGaRdCbevF7h_2RhA
650,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
651,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
652,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
653,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
654,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
655,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
656,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
657,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
658,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
659,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
660,Frisby Centro Chía,$ • Pollo,4.4,(17),"Chía, Cundinamarca, Colombia, Av Pradilla 900 Este Local 58 Y 59 Chia,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/frisby-centro-chia/k3Vr39kvQgGf47NDeH4hKA
661,El Humero Casual Food,$$ • Hamburguesas,4.8,(26),"Pradilla Avenue, Chía, Cundinamarca, Colombia, Loc 20,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/el-humero-casual-food/KuQ1FKCOQ_mQ6NvvMPskZg
662,Vertigo Wings (Chia),$$ • Alitas • Hamburguesas,,,"Centro Chía, Chía, Cundinamarca, Colombia, C.C Centro Chia Local 49 Plazoleta De Comidas 1 Piso,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/vertigo-wings-chia/Afl7Rnd-T9uVb7cYAGnuCQ
663,Vertigo Wings (Chia),$$ • Alitas • Hamburguesas,,,"Centro Chía, Chía, Cundinamarca, Colombia, C.C Centro Chia Local 49 Plazoleta De Comidas 1 Piso,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/vertigo-wings-chia/Afl7Rnd-T9uVb7cYAGnuCQ
664,Vertigo Wings (Chia),$$ • Alitas • Hamburguesas,,,"Centro Chía, Chía, Cundinamarca, Colombia, C.C Centro Chia Local 49 Plazoleta De Comidas 1 Piso,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/vertigo-wings-chia/Afl7Rnd-T9uVb7cYAGnuCQ
665,Vertigo Wings (Chia),$$ • Alitas • Hamburguesas,,,"Centro Chía, Chía, Cundinamarca, Colombia, C.C Centro Chia Local 49 Plazoleta De Comidas 1 Piso,  • Más información",https://www.ubereats.com/co/bogota/food-delivery/vertigo-wings-chia/Afl7Rnd-T9uVb7cYAGnuCQ
